FIPS,state,state_fips,county,tract,geoid,area_name,area_land,total_pop,housing_units,owner_occupied_housing_units,persons_no_health_insurance,families,families_income_below_poverty_level,median_household_income,nh_white_alone,nh_black_or_african_american_alone,nh_american_indian_and_alaska_native_alone,nh_asian_alone,nh_native_hawaiian_and_other_pacific_islander_alone,nh_other,nh_two_or_more,hispanic_or_latino,households_receiving_assistance,households,pct_owner_occupied,pct_no_health_insurance,pct_families_income_below_poverty_level,pct_households_receiving_assistance,pct_nh_white_alone,pct_nh_black_or_african_american_alone,pct_nh_american_indian_and_alaska_native_alone,pct_nh_asian_alone,pct_nh_native_hawaiian_and_other_pacific_islander_alone,pct_nh_other,pct_nh_two_or_more,pct_hispanic_or_latino
06001403502,ca,06,001,403502,14000US06001403502,Census Tract 4035.02,0.0699358452626035,2008,1399,193,118,353,7,84318,830,417,0,219,0,12,167,363,159,1176,0.13795568263045033,0.05876494023904383,0.019830028328611898,0.13520408163265307,0.41334661354581675,0.20766932270916336,0.0,0.10906374501992032,0.0,0.00597609561752988,0.08316733067729083,0.1807768924302789
06001403600,ca,06,001,403600,14000US06001403600,Census Tract 4036,0.151668656379875,5318,3027,373,153,769,102,85655,1892,1423,58,499,0,10,446,990,702,2863,0.12322431450280806,0.028770214366303122,0.13263979193758127,0.2451973454418442,0.35577284693493794,0.2675817976682964,0.010906355772846935,0.09383226776983829,0.0,0.00188040616773223,0.08386611508085746,0.1861602106054908
06001403701,ca,06,001,403701,14000US06001403701,Census Tract 4037.01,0.0671613150331198,3025,1861,225,131,465,28,82009,1337,602,0,496,0,92,144,354,165,1825,0.12090274046211714,0.04330578512396694,0.060215053763440864,0.09041095890410959,0.4419834710743802,0.19900826446280992,0.0,0.16396694214876034,0.0,0.030413223140495868,0.047603305785123964,0.11702479338842975
06001403702,ca,06,001,403702,14000US06001403702,Census Tract 4037.02,0.0768729430406627,2012,1355,177,18,358,24,117917,1072,291,0,304,0,15,90,240,204,1123,0.13062730627306274,0.008946322067594433,0.0670391061452514,0.18165627782724844,0.532803180914513,0.14463220675944333,0.0,0.15109343936381708,0.0,0.007455268389662028,0.04473161033797217,0.11928429423459244
06001403800,ca,06,001,403800,14000US06001403800,Census Tract 4038,0.251996534346877,3864,2051,590,96,754,9,140543,2519,617,5,406,5,10,143,159,586,1866,0.28766455387615797,0.024844720496894408,0.011936339522546418,0.3140407288317256,0.6519151138716356,0.1596790890269151,0.0012939958592132505,0.10507246376811594,0.0012939958592132505,0.002587991718426501,0.03700828157349897,0.04114906832298137
06001403900,ca,06,001,403900,14000US06001403900,Census Tract 4039,0.19038698248795,4038,2368,823,155,956,20,119641,2430,391,19,600,0,0,101,497,542,2159,0.34755067567567566,0.03838533927686974,0.02092050209205021,0.25104214914312184,0.6017830609212481,0.09683011391778108,0.0047052996532937095,0.1485884101040119,0.0,0.0,0.02501238236750867,0.12308073303615652
06001404000,ca,06,001,404000,14000US06001404000,Census Tract 4040,0.141694092791164,3052,1894,410,91,636,37,87303,1534,426,7,420,20,0,183,462,384,1756,0.21647307286166842,0.02981651376146789,0.05817610062893082,0.21867881548974943,0.5026212319790302,0.13958060288335516,0.0022935779816513763,0.13761467889908258,0.00655307994757536,0.0,0.05996068152031455,0.15137614678899083
06001404101,ca,06,001,404101,14000US06001404101,Census Tract 4041.01,0.219800632280922,3082,1839,630,1,660,0,106375,2217,240,12,269,0,41,160,143,301,1712,0.3425774877650897,0.0003244646333549643,0.0,0.1758177570093458,0.7193380921479559,0.07787151200519143,0.003893575600259572,0.0872809863724854,0.0,0.013303049967553536,0.05191434133679429,0.0463984425697599
06001404102,ca,06,001,404102,14000US06001404102,Census Tract 4041.02,0.088869909821976,2689,1787,220,76,392,0,80000,1520,147,21,364,0,0,325,312,315,1612,0.12311135982092893,0.028263294905169208,0.0,0.19540942928039703,0.5652658981033841,0.054667162513945704,0.007809594644849386,0.13536630717738937,0.0,0.0,0.12086277426552622,0.11602826329490516
06001404200,ca,06,001,404200,14000US06001404200,Census Tract 4042,1.0533736063642,3929,1488,1149,70,1032,24,200163,2560,185,12,631,32,42,192,275,872,1437,0.7721774193548387,0.017816238228556883,0.023255813953488372,0.6068197633959638,0.6515652837872232,0.04708577246118605,0.003054212267752609,0.16060066174599136,0.00814456604734029,0.010689742937134131,0.04886739628404174,0.06999236446933062
